"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"AUXG01000058.1",0,-0.332748492176872,0.318,0.698,0
"CBX3",0,-0.301112215371685,0.219,0.598,0
"RGS7",0,-0.736575826864237,0.2,0.579,0
"EPHA6",0,-1.20503246040681,0.165,0.543,0
"MBD5",0,-0.715777948224288,0.185,0.562,0
"ACAT2",0,-0.588256111037039,0.181,0.558,0
"PRICKLE2",0,-0.561553174138735,0.216,0.592,0
"CKB",0,-0.43272865225832,0.312,0.687,0
"SNAP91",0,-0.402875578072904,0.233,0.608,0
"KIAA1211",0,-0.673230102649838,0.201,0.575,0
"UBL5",0,-0.523191041834445,0.203,0.577,0
"RPS26",0,-0.507610211840553,0.266,0.638,0
"NR2F2",0,-0.731988119011171,0.217,0.589,0
"LRP1B",0,-0.937733458332476,0.182,0.553,0
"MACROD2",0,-0.676778968978386,0.174,0.545,0
"NELL2",0,-1.04584729502142,0.137,0.508,0
"PHF14",0,-0.594531794999803,0.176,0.545,0
"PABPN1",0,-0.705366008616748,0.182,0.551,0
"SMARCA4",0,-0.391522573839083,0.232,0.601,0
"PITX2",0,-0.89579541718354,0.161,0.529,0
"CNTN1",0,-0.344358474231607,0.236,0.604,0
"FGF14",0,-0.864034170347959,0.16,0.528,0
"RPS21",0,-0.538745516404224,0.259,0.627,0
"PPFIA2",0,-0.457632868208541,0.216,0.583,0
"MT-ND4L",0,-0.488426615422208,0.573,0.94,0
"TMSB15A",0,-0.660835623890303,0.174,0.54,0
"DNM3",0,-0.47010658370601,0.219,0.585,0
"NAV1",0,-0.489902591108197,0.206,0.572,0
"CCDC88A",0,-0.370338867615151,0.224,0.59,0
"MAPRE3",0,-0.493350157832324,0.171,0.536,0
"SEC62",0,-0.366150865115691,0.225,0.59,0
"ATP5MF",0,-0.657554337248563,0.146,0.511,0
"TENM4",0,-0.987800710067764,0.167,0.532,0
"FEZ1",0,-0.259837372807699,0.238,0.602,0
"MDGA2",0,-1.07400911134357,0.153,0.517,0
"EPHA5",0,-0.762843366217341,0.194,0.556,0
"ATP5MPL",0,-0.527407471032727,0.175,0.537,0
"ZC2HC1A",0,-0.301626721143218,0.221,0.583,0
"CNTN5",0,-2.11586022520525,0.076,0.438,0
"KCNH7",0,-1.63292580663152,0.106,0.467,0
"FAF1",0,-0.49885967776206,0.213,0.574,0
"RIMS1",0,-0.59140369036234,0.209,0.57,0
"ROMO1",0,-1.05519315016591,0.095,0.456,0
"NDUFS5",0,-0.30734080207999,0.258,0.618,0
"RPS28",0,-0.525337176439851,0.379,0.739,0
"MID1",0,-0.714894304683565,0.191,0.55,0
"ZNF638",0,-0.486160718737692,0.207,0.566,0
"ROBO2",0,-1.32004408493572,0.111,0.47,0
"CD200",0,-0.440333262295762,0.189,0.547,0
"SPATS2L",0,-1.10084642136748,0.135,0.493,0
"NDUFA13",0,-0.299818199142508,0.251,0.608,0
"TCEAL4",0,-0.554172889249307,0.159,0.516,0
"ATP5IF1",0,-0.335247309208985,0.197,0.553,0
"XKR4",0,-0.727064864641349,0.173,0.529,0
"PFN2",0,-0.268628850416366,0.256,0.612,0
"MVD",0,-1.21130989108745,0.13,0.484,0
"ZNF462",0,-0.963574807038862,0.131,0.484,0
"KLHL23",0,-0.902156353314752,0.13,0.482,0
"CHD4",0,-0.562728945303731,0.159,0.511,0
"UQCRQ",0,-0.473341978968306,0.2,0.551,0
"RABGAP1L",0,-0.306050732449143,0.224,0.575,0
"CTXN1",0,-0.256082173682004,0.229,0.58,0
"UQCR10",0,-0.385723479645,0.195,0.545,0
"FRMD4A",0,-0.987872379999305,0.159,0.509,0
"SMARCC2",0,-0.484343714816553,0.168,0.518,0
"RPL38",0,-0.332893202743467,0.276,0.626,0
"CCDC144NL-AS1",0,-0.554970074522341,0.199,0.548,0
"KALRN",0,-0.850313448557415,0.163,0.512,0
"PTPRT",0,-0.952221946122216,0.164,0.513,0
